codigo,descripcion,nivel
A,"Agricultura, ganadería, caza y silvicultura.",1
01,"Agricultura, ganadería, caza y actividades de servicios conexas.",2
011,Cultivos en general; cultivo de productos de mercado; horticultura.,3
0111,Cultivo de cereales y otros cultivos n.c.p.,4
0112,"Cultivo de hortalizas y legumbres, especialidades hortícolas y productos de vivero.",4
0113,"Cultivo de frutas, nueces, plantas cuyas hojas o frutas se utilizan para preparar bebidas, y especias.",4
012,Cría de animales.,3
0121,"Cría de ganado vacuno y de ovejas, cabras, caballos, asnos, mulas y burdéganos; cría de ganado lechero.",4
0122,Cría de otros animales; elaboración de productos animales n.c.p.,4
013,Cultivo de productos agrícolas en combinación con la cría de animales (explotación mixta).,3
0130,Cultivo de productos agrícolas en combinación con la cría de animales (explotación mixta).,4
014,"Actividades de servicios agrícolas y ganaderos, excepto las actividades veterinarias.",3
0140,"Actividades de servicios agrícolas y ganaderos, excepto las actividades veterinarias.",4
015,"Caza ordinaria y mediante trampas, y repoblación de animales de caza, incluso las actividades de servicios conexas.",3
0150,"Caza ordinaria y mediante trampas, y repoblación de animales de caza, incluso las actividades de servicios conexas.",4
02,"Silvicultura, extracción de madera y actividades de servicios conexas.",2
020,"Silvicultura, extracción de madera y actividades de servicios conexas.",3
0200,"Silvicultura, extracción de madera y actividades de servicios conexas.",4
B,Pesca.,1
05,"Pesca, explotación de criaderos de peces y granjas piscícolas; actividades de servicios relacionadas con la pesca.",2
050,"Pesca, explotación de criaderos de peces y granjas piscícolas; actividades de servicios relacionadas con la pesca.",3
0500,"Pesca, explotación de criaderos de peces y granjas piscícolas; actividades de servicios relacionadas con la pesca.",4
C,Explotación de minas y canteras.,1
10,Extracción de carbón y lignito; extracción de turba.,2
101,Extracción y aglomeración de carbón de piedra.,3
1010,Extracción y aglomeración de carbón de piedra.,4
102,Extracción y aglomeración de lignito.,3
1020,Extracción y aglomeración de lignito.,4
103,Extracción y aglomeración de turba.,3
1030,Extracción y aglomeración de turba.,4
11,"Extracción de petróleo crudo y gas natural; actividades de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección.",2
111,Extracción de petróleo crudo y gas natural.,3
1110,Extracción de petróleo crudo y gas natural.,4
112,"Actividades de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección.",3
1120,"Actividades de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección.",4
12,Extracción de minerales de uranio y torio.,2
120,Extracción de minerales de uranio y torio.,3
1200,Extracción de minerales de uranio y torio.,4
13,Extracción de minerales metalíferos.,2
131,Extracción de minerales de hierro.,3
1310,Extracción de minerales de hierro.,4
132,"Extracción de minerales metalíferos no ferrosos, excepto los minerales de uranio y torio.",3
1320,"Extracción de minerales metalíferos no ferrosos, excepto los minerales de uranio y torio.",4
14,Explotación de otras minas y canteras.,2
141,"Extracción de piedra, arena y arcilla.",3
1410,"Extracción de piedra, arena y arcilla.",4
142,Explotación de minas y canteras n.c.p.,3
1421,Extracción de minerales para la fabricación de abonos y productos químicos.,4
1422,Extracción de sal.,4
1429,Explotación de otras minas y canteras n.c.p.,4
D,Industrias manufactureras.,1
15,Elaboración de productos alimenticios y bebidas.,2
151,"Producción, procesamiento y conservación de carne, pescado, frutas, legumbres, hortalizas, aceites y grasas.",3
1511,"Producción, procesamiento y conservación de carne y productos cárnicos.",4
1512,Elaboración y conservación de pescado y productos de pescado.,4
1513,"Elaboración y conservación de frutas, legumbres y hortalizas.",4
1514,Elaboración de aceites y grasas de origen vegetal y animal.,4
152,Elaboración de productos lácteos.,3
1520,Elaboración de productos lácteos.,4
153,"Elaboración de productos de molinería, almidones y productos derivados del almidón, y de alimentos preparados para animales.",3
1531,Elaboración de productos de molinería.,4
1532,Elaboración de almidones y productos derivados del almidón.,4
1533,Elaboración de alimentos preparados para animales.,4
154,Elaboración de otros productos alimenticios.,3
1541,Elaboración de productos de panadería.,4
1542,Elaboración de azúcar.,4
1543,Elaboración de cacao y chocolate y de productos de confitería.,4
1544,"Elaboración de macarrones, fideos, alcuzcuz y productos farináceos similares.",4
1549,Elaboración de otros productos alimenticios n.c.p.,4
155,Elaboración de bebidas.,3
1551,"Destilación, rectificación y mezcla de bebidas alcohólicas; producción de alcohol etílico a partir de sustancias fermentadas.",4
1552,Elaboración de vinos.,4
1553,Elaboración de bebidas malteadas y de malta.,4
1554,Elaboración de bebidas no alcohólicas; producción de aguas minerales.,4
16,Elaboración de productos de tabaco.,2
160,Elaboración de productos de tabaco.,3
1600,Elaboración de productos de tabaco.,4
17,Fabricación de productos textiles.,2
171,"Hilatura, tejedura y acabado de productos textiles.",3
1711,Preparación e hilatura de fibras textiles; tejedura de productos textiles.,4
1712,Acabado de productos textiles.,4
172,Fabricación de otros productos textiles.,3
1721,"Fabricación de artículos confeccionados de materiales textiles, excepto prendas de vestir.",4
1722,Fabricación de tapices y alfombras.,4
1723,"Fabricación de cuerdas, cordeles, bramantes y redes.",4
1729,Fabricación de otros productos textiles n.c.p.,4
173,Fabricación de tejidos y artículos de punto y ganchillo.,3
1730,Fabricación de tejidos y artículos de punto y ganchillo.,4
18,Fabricación de prendas de vestir; adobo y teñido de pieles.,2
181,"Fabricación de prendas de vestir, excepto prendas de piel.",3
1810,"Fabricación de prendas de vestir, excepto prendas de piel.",4
182,Adobo y teñido de pieles; fabricación de artículos de piel.,3
1820,Adobo y teñido de pieles; fabricación de artículos de piel.,4
19,"Curtido y adobo de cueros; fabricación de maletas, bolsos de mano, artículos de talabartería y guarnicionaría, y calzado.",2
191,"Curtido y adobo de cueros; fabricación de maletas, bolsos de mano y artículos de talabartería y guarnicionería.",3
1911,Curtido y adobo de cueros.,4
1912,"Fabricación de maletas, bolsos de mano y artículos similares, y de artículos de talabartería y guarnicionería.",4
192,Fabricación de calzado.,3
1920,Fabricación de calzado.,4
20,"Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables.",2
201,Aserrado y acepilladura de madera.,3
2010,Aserrado y acepilladura de madera.,4
202,"Fabricación de productos de madera, corcho, paja y materiales trenzables.",3
2021,"Fabricación de hojas de madera para enchapado; fabricación de tableros contrachapados, tableros laminados, tableros de partículas y otros tableros y paneles.",4
2022,Fabricación de partes y piezas de carpintería para edificios y construcciones.,4
2023,Fabricación de recipientes de madera.,4
2029,"Fabricación de otros productos de madera; fabricación de artículos de corcho, paja y materiales trenzables.",4
21,Fabricación de papel y de productos de papel.,2
210,Fabricación de papel y de productos de papel.,3
2101,"Fabricación de pasta de madera, papel y cartón.",4
2102,Fabricación de papel y cartón ondulado y de envases de papel y cartón.,4
2109,Fabricación de otros artículos de papel y cartón.,4
